,PAREN,SEXO,EDAD,P3_7,NIVEL,GRADO,P3_9_1,P3_9_2,P3_9_3,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO,ENT,code
154,1,1,51,2.0,0.0,0.0,2.0,2.0,1.0,34,7,U,1,3,1,1003322
155,1,1,69,2.0,2.0,6.0,9.0,2.0,2.0,34,7,U,1,3,1,1003324
156,1,2,66,2.0,7.0,3.0,2.0,1.0,1.0,34,7,U,1,3,1,1003325
157,1,1,71,2.0,3.0,2.0,2.0,1.0,1.0,35,7,U,1,3,1,1003391
158,1,2,64,2.0,8.0,5.0,2.0,1.0,1.0,35,7,U,1,3,1,1003392
159,1,2,61,2.0,8.0,5.0,2.0,1.0,1.0,35,7,U,1,3,1,1003393
160,1,2,62,2.0,5.0,3.0,2.0,2.0,1.0,35,7,U,1,3,1,1003394
161,1,2,51,2.0,7.0,3.0,2.0,2.0,1.0,36,7,U,1,3,1,1003431
162,1,2,67,2.0,3.0,3.0,1.0,1.0,1.0,36,7,U,1,3,1,1003432
163,1,2,75,2.0,2.0,5.0,2.0,2.0,1.0,36,7,U,1,3,1,1003433
164,1,1,48,2.0,8.0,2.0,2.0,1.0,1.0,36,7,U,1,3,1,1003434
165,1,1,69,2.0,3.0,2.0,2.0,2.0,2.0,36,7,U,1,3,1,1003435
166,1,2,71,2.0,3.0,3.0,2.0,2.0,2.0,37,7,U,1,3,1,1003451
167,1,2,77,2.0,2.0,5.0,2.0,2.0,2.0,37,7,U,1,3,1,1003452
168,1,2,85,2.0,2.0,4.0,2.0,2.0,2.0,37,7,U,1,3,1,1003454
169,1,1,88,2.0,2.0,6.0,2.0,2.0,1.0,37,7,U,1,3,1,1003455
170,1,1,37,2.0,8.0,5.0,1.0,1.0,1.0,38,7,U,1,3,1,1003541
171,1,1,27,2.0,3.0,3.0,2.0,1.0,1.0,38,7,U,1,3,1,1003542
172,1,2,47,2.0,8.0,5.0,1.0,1.0,1.0,38,7,U,1,3,1,1003543
173,1,2,56,2.0,6.0,3.0,1.0,1.0,1.0,38,7,U,1,3,1,1003544
174,1,1,53,2.0,8.0,5.0,1.0,1.0,1.0,38,7,U,1,3,1,1003545
175,1,1,54,2.0,2.0,6.0,2.0,2.0,2.0,39,6,U,1,2,1,1003681
176,1,1,43,2.0,8.0,2.0,1.0,1.0,1.0,39,6,U,1,2,1,1003682
177,1,1,33,2.0,8.0,2.0,2.0,2.0,2.0,39,6,U,1,2,1,1003683
178,1,1,82,2.0,2.0,3.0,2.0,2.0,2.0,39,6,U,1,2,1,1003684
179,1,2,21,2.0,3.0,3.0,1.0,1.0,1.0,39,6,U,1,2,1,1003685
180,1,1,72,2.0,0.0,0.0,2.0,2.0,1.0,40,7,U,1,3,1,1003731
181,1,2,66,2.0,2.0,4.0,2.0,2.0,1.0,40,7,U,1,3,1,1003732
182,1,2,73,2.0,2.0,3.0,2.0,2.0,2.0,40,7,U,1,3,1,1003733
183,1,1,60,2.0,10.0,2.0,1.0,1.0,1.0,41,8,U,1,4,1,1003851
184,1,1,50,2.0,10.0,2.0,1.0,1.0,1.0,41,8,U,1,4,1,1003852
185,1,1,72,2.0,8.0,5.0,1.0,1.0,1.0,41,8,U,1,4,1,1003853
186,1,2,58,2.0,11.0,3.0,1.0,1.0,1.0,41,8,U,1,4,1,1003854
