,PAREN,SEXO,EDAD,P3_7,NIVEL,GRADO,P3_9_1,P3_9_2,P3_9_3,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO,ENT,code
50806,1,1,42,2.0,8.0,5.0,1.0,1.0,1.0,2226,81,U,1,3,9,9007731
50811,1,2,39,2.0,6.0,3.0,2.0,1.0,1.0,2226,81,U,1,3,9,9007732
50812,1,2,24,2.0,3.0,3.0,2.0,1.0,1.0,2226,81,U,1,3,9,9007733
50813,1,2,47,2.0,8.0,4.0,2.0,2.0,1.0,2226,81,U,1,3,9,9007734
50814,1,1,60,2.0,3.0,3.0,2.0,1.0,1.0,2226,81,U,1,3,9,9007735
50817,4,2,39,2.0,6.0,3.0,1.0,1.0,1.0,2227,80,U,1,2,9,9008661
50822,2,2,31,2.0,8.0,1.0,1.0,1.0,1.0,2227,80,U,1,2,9,9008662
50825,1,1,61,2.0,6.0,3.0,2.0,2.0,1.0,2227,80,U,1,2,9,9008663
50828,1,1,57,2.0,2.0,6.0,2.0,2.0,2.0,2227,80,U,1,2,9,9008664
50829,1,1,36,2.0,8.0,4.0,1.0,1.0,1.0,2227,80,U,1,2,9,9008665
50835,1,2,47,2.0,8.0,4.0,1.0,1.0,1.0,2228,81,U,1,3,9,9008881
50842,3,2,26,2.0,3.0,3.0,2.0,1.0,1.0,2228,81,U,1,3,9,9008883
50846,1,1,63,2.0,6.0,2.0,1.0,1.0,1.0,2228,81,U,1,3,9,9008884
50849,3,2,25,2.0,8.0,1.0,2.0,1.0,1.0,2228,81,U,1,3,9,9008885
50852,3,2,25,2.0,6.0,2.0,1.0,1.0,1.0,2229,81,U,1,3,9,9009071
50858,3,1,46,2.0,99.0,9.0,2.0,1.0,1.0,2229,81,U,1,3,9,9009072
50862,1,1,22,2.0,6.0,1.0,1.0,1.0,1.0,2229,81,U,1,3,9,9009073
50868,1,1,45,2.0,3.0,3.0,2.0,1.0,1.0,2229,81,U,1,3,9,9009074
50871,1,1,57,2.0,3.0,3.0,2.0,1.0,1.0,2229,81,U,1,3,9,9009075
50873,1,1,63,2.0,3.0,3.0,2.0,1.0,1.0,2230,81,U,1,3,9,9009601
50877,3,1,27,2.0,6.0,3.0,1.0,1.0,1.0,2230,81,U,1,3,9,9009602
50878,1,2,52,2.0,6.0,3.0,1.0,1.0,1.0,2230,81,U,1,3,9,9009603
50880,1,1,75,2.0,6.0,3.0,2.0,2.0,1.0,2230,81,U,1,3,9,9009604
50882,1,1,66,2.0,8.0,4.0,1.0,1.0,1.0,2231,82,U,1,4,9,9009671
50886,3,2,31,2.0,8.0,4.0,1.0,1.0,1.0,2231,82,U,1,4,9,9009672
50889,3,2,36,2.0,8.0,4.0,1.0,1.0,1.0,2231,82,U,1,4,9,9009673
50891,4,1,20,1.0,8.0,1.0,1.0,1.0,1.0,2231,82,U,1,4,9,9009674
50892,1,2,59,2.0,8.0,4.0,2.0,1.0,1.0,2231,82,U,1,4,9,9009675
50896,5,2,25,2.0,8.0,5.0,1.0,1.0,1.0,2232,80,U,1,1,9,9009871
50899,3,2,29,2.0,6.0,3.0,2.0,1.0,1.0,2232,80,U,1,1,9,9009872
50901,1,1,44,2.0,8.0,4.0,1.0,1.0,1.0,2232,80,U,1,1,9,9009873
50906,1,1,69,2.0,6.0,3.0,2.0,2.0,1.0,2232,80,U,1,1,9,9009874
50907,1,2,53,2.0,8.0,5.0,1.0,1.0,1.0,2232,80,U,1,1,9,9009875
50913,3,1,36,2.0,8.0,4.0,1.0,1.0,1.0,2233,82,U,1,4,9,9010341
50915,1,2,42,2.0,8.0,4.0,1.0,1.0,1.0,2233,82,U,1,4,9,9010343
50916,1,1,64,2.0,8.0,4.0,1.0,1.0,1.0,2233,82,U,1,4,9,9010344
50918,1,1,72,2.0,11.0,2.0,1.0,1.0,1.0,2233,82,U,1,4,9,9010345
50922,1,2,30,2.0,8.0,4.0,1.0,1.0,1.0,2234,82,U,1,4,9,9012861
50924,1,2,58,2.0,8.0,4.0,1.0,1.0,1.0,2234,82,U,1,4,9,9012862
50925,1,2,45,2.0,8.0,4.0,1.0,1.0,1.0,2234,82,U,1,4,9,9012863
50928,1,1,25,1.0,10.0,1.0,1.0,1.0,1.0,2234,82,U,1,4,9,9012864
50930,1,2,65,2.0,10.0,2.0,1.0,1.0,1.0,2234,82,U,1,4,9,9012865
50931,1,1,34,2.0,0.0,0.0,2.0,1.0,1.0,2235,80,U,1,2,9,9013901
50932,1,1,16,2.0,2.0,4.0,2.0,2.0,2.0,2235,80,U,1,2,9,9013902
50934,2,2,46,2.0,6.0,2.0,2.0,1.0,1.0,2235,80,U,1,2,9,9013903
50937,1,1,28,2.0,8.0,3.0,1.0,1.0,1.0,2235,80,U,1,2,9,9013904
50939,1,1,54,2.0,3.0,3.0,2.0,1.0,1.0,2235,80,U,1,2,9,9013905
50947,3,1,37,2.0,8.0,5.0,1.0,1.0,1.0,2236,80,U,1,2,9,9013951
50950,5,2,48,2.0,8.0,3.0,1.0,1.0,1.0,2236,80,U,1,2,9,9013952
50951,1,1,28,2.0,3.0,3.0,2.0,1.0,1.0,2236,80,U,1,2,9,9013953
50955,2,1,35,2.0,6.0,1.0,2.0,1.0,1.0,2236,80,U,1,2,9,9013954
50960,2,2,21,2.0,6.0,3.0,1.0,1.0,1.0,2236,80,U,1,2,9,9013955
50963,3,2,23,2.0,6.0,3.0,2.0,1.0,1.0,2237,80,U,1,2,9,9014521
50967,3,1,17,1.0,6.0,2.0,1.0,1.0,1.0,2237,80,U,1,2,9,9014522
50972,3,1,30,2.0,8.0,1.0,1.0,1.0,1.0,2237,80,U,1,2,9,9014524
50975,2,2,52,2.0,6.0,3.0,2.0,1.0,1.0,2237,80,U,1,2,9,9014525
50976,1,1,35,2.0,6.0,3.0,2.0,1.0,1.0,2238,80,U,1,2,9,9015231
50981,3,1,58,2.0,6.0,3.0,1.0,1.0,2.0,2238,80,U,1,2,9,9015232
50985,3,1,30,2.0,8.0,4.0,2.0,1.0,1.0,2238,80,U,1,2,9,9015233
50990,2,1,26,2.0,8.0,4.0,1.0,1.0,1.0,2238,80,U,1,2,9,9015234
50992,1,2,24,2.0,3.0,3.0,2.0,1.0,1.0,2238,80,U,1,2,9,9015235
50996,1,1,49,2.0,8.0,2.0,1.0,1.0,1.0,2239,80,U,1,2,9,9015401
51003,3,1,19,1.0,8.0,2.0,1.0,1.0,2.0,2239,80,U,1,2,9,9015402
51007,3,2,35,2.0,8.0,4.0,1.0,1.0,1.0,2239,80,U,1,2,9,9015403
51008,1,2,47,2.0,3.0,3.0,2.0,1.0,1.0,2239,80,U,1,2,9,9015404
51009,1,2,86,2.0,2.0,6.0,2.0,2.0,2.0,2239,80,U,1,2,9,9015405
51010,1,1,38,2.0,8.0,4.0,1.0,1.0,1.0,2240,82,U,1,4,9,9016181
51011,1,1,72,2.0,8.0,2.0,1.0,1.0,1.0,2240,82,U,1,4,9,9016182
51014,1,1,97,2.0,8.0,4.0,2.0,1.0,1.0,2240,82,U,1,4,9,9016184
51016,1,1,54,2.0,8.0,4.0,1.0,1.0,1.0,2240,82,U,1,4,9,9016185
51021,1,1,48,2.0,8.0,1.0,2.0,1.0,1.0,2241,80,U,1,2,9,9016901
51029,3,2,21,1.0,6.0,3.0,1.0,1.0,1.0,2241,80,U,1,2,9,9016902
51033,3,2,38,1.0,6.0,3.0,2.0,1.0,1.0,2241,80,U,1,2,9,9016903
51040,1,2,47,2.0,8.0,4.0,1.0,1.0,1.0,2241,80,U,1,2,9,9016904
51044,2,2,28,2.0,6.0,3.0,2.0,1.0,1.0,2241,80,U,1,2,9,9016905
51048,3,1,52,2.0,6.0,3.0,2.0,1.0,1.0,2242,80,U,1,2,9,9018741
51053,3,2,24,2.0,8.0,3.0,1.0,1.0,1.0,2242,80,U,1,2,9,9018743
51056,3,1,54,2.0,3.0,3.0,2.0,2.0,2.0,2242,80,U,1,2,9,9018744
51059,2,2,30,2.0,7.0,3.0,1.0,1.0,1.0,2242,80,U,1,2,9,9018745
51064,3,2,40,2.0,10.0,2.0,1.0,1.0,1.0,2243,81,U,1,3,9,9018791
51068,1,2,64,2.0,3.0,3.0,2.0,2.0,1.0,2243,81,U,1,3,9,9018792
51072,3,1,40,2.0,3.0,3.0,2.0,2.0,1.0,2243,81,U,1,3,9,9018793
51074,3,1,27,2.0,3.0,3.0,2.0,1.0,1.0,2243,81,U,1,3,9,9018794
51076,3,1,41,2.0,8.0,4.0,1.0,1.0,1.0,2243,81,U,1,3,9,9018795
51080,1,1,49,2.0,8.0,5.0,1.0,1.0,1.0,2244,82,U,1,4,9,9019581
