,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P1_5_3,P2_1,P2_2,ENT,code,HOGAR,P4_1_1,P4_1_2,P4_1_3,P4_1_4,P4_1_5,P4_1_6,P4_2_1,P4_2_2,P4_4
32383,3,1,1,1,1,1,2,5,1,18,18013621,1,2,2,2,1,2,1,2,2,1
32384,3,1,1,1,1,1,1,3,1,18,18013622,1,2,1,1,2,2,1,2,2,2
32385,3,1,1,1,1,1,2,6,1,18,18013623,1,1,2,2,1,1,1,2,2,1
32386,3,1,1,1,1,1,1,5,1,18,18013624,1,1,2,2,1,2,1,2,2,1
32387,3,1,1,1,1,1,2,2,1,18,18013625,1,2,2,2,2,2,2,2,2,2
32388,3,1,1,1,1,1,1,5,1,18,18013626,1,2,2,2,2,2,1,1,2,1
32389,3,1,1,1,1,2,2,4,1,18,18013627,1,2,2,2,1,2,1,2,2,2
32390,3,1,1,1,1,2,2,3,1,18,18013629,1,2,2,2,2,2,1,2,2,2
32391,3,1,1,1,1,1,1,3,1,18,180136210,1,1,2,2,1,2,1,2,2,2
32392,3,1,1,1,1,1,2,3,1,18,180136211,1,2,2,2,1,2,1,2,2,1
32393,3,1,1,1,1,1,2,3,1,18,180136212,1,2,2,2,1,2,1,2,2,1
32394,3,1,1,1,1,1,1,4,1,18,180136213,1,1,1,2,1,1,1,2,1,1
32395,2,1,1,1,1,2,2,4,1,18,180136214,1,2,2,2,1,2,1,2,2,1
32396,3,1,1,1,1,1,2,6,1,18,180136215,1,1,1,2,1,2,1,2,2,2
32397,2,1,1,1,1,1,2,3,1,18,180136216,1,2,2,2,1,2,1,2,2,2
32398,2,1,2,1,1,2,2,1,1,18,180136217,1,2,2,2,1,2,1,1,2,1
32399,3,1,1,1,1,1,2,4,1,18,180136218,1,2,1,2,1,2,1,2,2,1
32400,2,1,1,1,1,1,2,2,1,18,180136219,1,2,2,2,2,2,1,2,2,2
32401,3,1,1,1,1,1,1,1,1,18,180136220,1,2,2,2,1,2,1,2,2,1
32402,3,1,1,1,1,1,1,5,1,18,18013771,1,1,2,2,1,2,1,2,2,1
32403,2,1,1,1,1,2,2,6,1,18,18013772,1,2,2,2,1,2,1,2,2,1
32404,2,1,1,1,1,1,1,5,1,18,18013773,1,2,2,2,1,2,1,2,2,1
32405,2,1,1,1,1,1,2,4,1,18,18013774,1,1,2,2,1,2,1,2,2,1
32406,2,1,1,1,1,1,2,3,1,18,18013775,1,2,2,2,1,2,1,2,2,1
32407,2,1,1,1,1,1,2,3,1,18,18013776,1,1,2,2,1,2,1,1,2,1
32408,2,1,1,1,1,1,2,5,1,18,18013777,1,2,2,2,1,2,1,2,2,1
32409,3,1,1,1,1,1,2,2,1,18,18013778,1,2,2,2,1,2,1,2,2,2
32410,3,1,1,1,1,2,2,1,1,18,18013779,1,1,1,2,2,2,1,2,2,2
32411,3,1,1,1,1,2,1,5,1,18,180137710,1,2,1,1,2,2,1,2,2,1
32412,3,1,1,1,1,1,2,2,1,18,180137711,1,2,2,2,1,2,1,2,1,1
32413,3,1,1,1,1,2,2,7,1,18,180137712,1,2,2,2,2,2,1,2,2,2
32414,3,1,1,1,1,2,2,7,1,18,180137713,1,2,2,2,1,2,1,2,2,1
32415,2,1,1,1,1,1,2,5,1,18,180137714,1,1,2,2,2,2,1,2,2,1
32416,3,1,1,1,1,1,2,2,1,18,180137715,1,2,2,2,1,2,1,2,2,1
32417,3,1,1,1,1,1,1,8,1,18,180137716,1,1,2,2,1,2,1,2,2,1
32418,3,1,1,1,1,1,2,5,1,18,180137717,1,2,2,2,1,2,1,2,1,1
32419,3,1,1,1,1,2,2,2,1,18,180137718,1,2,1,2,2,2,1,2,2,1
32420,3,1,1,1,1,1,2,1,1,18,180137719,1,2,2,2,1,2,1,2,2,2
32421,3,1,1,1,1,1,2,4,1,18,180137720,1,2,1,2,1,2,1,2,2,1
32422,2,1,1,1,1,1,1,2,1,18,18013941,1,2,2,2,1,2,1,1,2,1
32423,3,1,1,1,1,1,1,1,1,18,18013942,1,2,1,1,1,2,1,2,1,1
32424,3,1,1,1,1,2,1,6,1,18,18013944,1,1,2,2,1,2,1,2,2,2
32425,2,2,1,1,1,1,2,3,1,18,18013945,1,2,1,2,2,2,1,2,2,2
32426,3,1,1,1,1,1,2,2,1,18,18013946,1,1,1,2,1,2,1,2,1,2
32427,2,1,1,1,1,1,2,3,1,18,18013947,1,2,2,2,2,2,1,2,1,1
32428,3,1,1,1,1,1,2,2,1,18,18013948,1,1,2,2,1,2,1,2,2,2
32429,3,1,1,1,1,1,1,1,1,18,18013949,1,1,2,2,1,2,1,2,2,2
32430,1,1,1,1,1,1,1,2,1,18,180139410,1,1,1,2,1,2,1,1,2,1
32431,3,1,1,1,1,1,1,2,1,18,180139411,1,2,1,2,1,2,1,2,2,1
32432,2,1,1,1,2,2,1,1,1,18,180139412,1,2,2,2,2,2,1,2,2,1
32433,3,1,1,1,1,1,1,5,1,18,180139413,1,1,2,1,1,1,1,1,1,1
32434,3,1,1,1,1,1,2,1,1,18,180139414,1,2,2,2,1,2,2,2,2,1
32435,3,1,1,1,1,1,1,4,1,18,180139415,1,1,2,2,1,2,1,1,1,1
32436,3,2,1,1,1,1,2,1,1,18,180139416,1,2,1,2,1,2,2,2,2,1
32437,3,1,1,1,1,1,2,1,1,18,180139417,1,2,1,2,1,2,1,2,2,1
32438,3,1,1,1,1,1,1,2,1,18,180139418,1,2,2,2,1,2,1,2,2,1
32439,3,1,1,1,1,2,2,1,1,18,180139419,1,2,2,2,1,2,1,2,2,1
32440,3,1,1,1,1,1,1,2,1,18,180139420,1,1,1,2,1,2,1,1,2,1
32441,3,1,1,1,1,1,1,4,1,18,18014031,1,2,1,2,2,2,1,2,2,2
32442,3,1,1,1,1,1,2,2,1,18,18014032,1,1,2,2,1,2,1,2,2,2
32443,3,1,1,1,1,1,1,2,1,18,18014033,1,1,1,2,1,2,1,2,1,2
32444,2,1,1,1,1,1,1,4,1,18,18014034,1,2,1,2,2,2,1,2,2,2
32445,3,1,1,1,1,1,1,2,1,18,18014035,1,2,2,2,2,2,1,2,2,2
32446,2,1,1,1,1,1,2,2,1,18,18014036,1,2,1,2,2,2,1,2,2,2
32447,3,1,1,1,1,1,1,4,1,18,18014037,1,1,2,2,1,1,1,2,1,1
32448,3,1,1,1,1,1,1,5,1,18,18014038,1,2,2,2,1,1,1,1,2,1
32449,2,1,1,1,1,1,1,5,1,18,18014039,1,2,1,2,1,2,1,2,2,2
32450,3,1,1,1,1,1,1,2,1,18,180140310,1,1,2,2,1,2,1,2,1,1
32451,3,1,1,1,1,1,1,4,1,18,180140311,1,2,2,2,1,2,1,2,2,1
32452,3,1,1,1,1,1,2,2,1,18,180140313,1,2,2,2,1,2,1,2,2,1
32453,3,1,1,1,1,1,1,3,1,18,180140314,1,1,1,2,1,1,1,1,1,1
32454,3,1,1,1,1,1,1,2,1,18,180140316,1,2,2,2,1,2,1,2,1,1
32455,3,1,1,1,1,1,1,2,1,18,180140317,1,2,2,2,1,2,1,2,2,1
32456,2,1,1,1,1,1,1,2,1,18,180140318,1,2,1,2,1,1,1,2,1,1
32457,2,1,1,1,1,1,2,3,1,18,180140319,1,2,2,2,1,2,1,2,2,1
32458,3,1,2,1,1,2,2,1,1,18,18014321,1,2,2,2,1,2,1,2,2,1
32459,2,1,1,1,1,1,1,4,1,18,18014322,1,1,2,2,1,2,1,2,2,1
32460,2,1,2,1,1,1,1,5,1,18,18014323,1,1,1,2,1,2,1,2,2,1
32461,3,2,2,1,1,2,2,4,1,18,18014324,1,2,2,2,1,2,1,2,1,2
32462,2,1,1,1,1,1,2,4,1,18,18014325,1,2,2,2,1,2,1,2,2,2
32463,2,2,2,1,1,1,1,3,1,18,18014326,1,2,1,2,2,2,1,2,2,2
32464,2,2,2,1,1,1,2,5,1,18,18014327,1,1,2,2,1,2,1,2,2,2
32465,3,2,2,1,1,1,2,1,1,18,18014328,1,2,2,2,1,2,2,2,2,2
32466,3,1,1,1,1,1,1,5,1,18,18014329,1,1,2,2,1,2,1,1,2,1
32467,3,1,1,1,1,1,2,2,1,18,180143210,1,2,1,2,2,2,1,2,2,2
32468,2,1,1,1,1,2,2,3,1,18,180143211,1,2,2,2,1,2,1,2,2,1
32469,2,1,1,1,1,1,2,3,1,18,180143212,1,2,2,2,1,2,1,2,2,2
32470,2,1,1,1,1,1,2,5,1,18,180143213,1,2,1,2,2,2,1,2,2,1
32471,2,1,1,1,2,2,2,3,1,18,180143214,1,2,2,2,1,2,1,2,2,1
32472,2,2,2,1,1,1,2,3,1,18,180143215,1,1,2,2,1,2,1,2,2,2
32473,3,1,1,1,1,2,2,3,1,18,180143216,1,1,2,2,1,2,1,2,2,2
32474,3,1,1,2,2,2,2,2,1,18,180143217,1,2,2,2,2,2,1,2,2,2
32475,2,2,2,1,1,1,1,3,1,18,180143218,1,1,2,2,1,2,1,2,2,1
32476,3,1,1,1,1,1,2,4,1,18,180143219,1,2,1,2,2,2,1,2,2,1
32477,2,1,1,1,1,1,2,2,1,18,18014421,1,1,1,2,2,2,1,2,2,2
32478,3,1,1,1,1,1,1,3,1,18,18014422,1,2,2,2,1,1,1,2,1,1
32479,3,1,1,1,1,1,1,6,1,18,18014423,1,2,2,2,1,2,1,2,1,1
32480,2,1,1,1,1,1,2,2,1,18,18014424,1,2,2,2,2,2,1,2,2,1
32481,2,1,1,1,1,1,1,2,1,18,18014425,1,1,2,2,1,1,1,1,1,1
32482,3,1,1,1,1,1,1,5,1,18,18014426,1,1,2,2,1,2,1,2,1,1
32483,2,2,2,1,1,2,2,5,1,18,18014427,1,1,1,2,2,2,1,2,2,2
32484,2,1,1,1,1,1,2,6,1,18,18014429,1,2,1,2,2,2,1,2,2,1
32485,2,1,1,1,1,1,2,3,1,18,180144210,1,2,2,2,1,2,1,2,1,1
32486,2,2,1,1,1,1,2,3,1,18,180144211,1,2,1,2,2,2,1,2,2,2
32487,2,2,1,1,1,2,1,3,1,18,180144213,1,1,1,2,2,2,1,2,2,1
32488,3,1,1,1,1,1,1,3,1,18,180144214,1,2,1,1,1,1,1,2,1,1
32489,2,1,1,1,1,1,2,2,1,18,180144215,1,2,2,2,1,2,1,2,2,2
32490,1,2,1,1,1,1,2,5,1,18,180144216,1,2,2,2,1,2,1,2,2,2
32491,3,1,1,1,1,1,2,6,1,18,180144218,1,2,2,2,1,1,1,2,2,1
32492,2,1,1,1,1,1,1,2,1,18,180144220,1,2,1,2,1,2,1,2,2,1
32493,2,2,2,1,1,2,2,5,1,18,18014831,1,2,2,2,1,2,1,2,2,2
32494,3,1,2,1,1,1,1,3,1,18,18014832,1,1,2,2,1,2,1,2,2,2
32495,2,2,2,1,2,2,2,5,1,18,18014835,1,2,2,2,1,2,1,2,2,2
32496,2,1,2,1,2,2,2,3,1,18,18014836,1,2,2,2,1,2,1,2,2,2
32497,2,2,2,1,1,2,2,4,1,18,18014837,1,2,2,2,1,2,1,2,2,2
32498,3,2,2,1,2,2,1,4,1,18,18014838,1,2,2,2,1,2,1,2,2,2
